ISO-3,Code,PDB&DFI Name,Name in Original Language,Acronym,Establishment Year,Official Mandate,Country,Region,Levels of Ownership,Size Category,Fiancial Year,Total Assets(Million USD),Total Equity(Million USD),Total Liabilities(Million USD)
COL,CO19641,Institute for the Development of Antioquia,Instituto para el Desarrollo de Antioquia,IDEA,1964,MSME,Colombia,LAC,SUBNATIONAL,Large,2022,594,126,467
ECU,EC19641,National Finance Corporation,Corporación Financiera Nacional,CFN,1964,MSME,Ecuador,LAC,NATIONAL,Small,2022,"3,213",TBR,TBR
ECU,EC20151,Development Bank of Ecuador B.P.,Banco de Desarrollo del Ecuador B.P.,BDE,2015,FLEX,Ecuador,LAC,NATIONAL,Small,2022,"2,123",TBR,TBR
ECU,EC20081,National Corporation for Popular and Solidarity Finance,Corporacion Nacional de Finanzas Populares y Solidarias,CONAFIPS,2008,MSME,Ecuador,LAC,NATIONAL,Small,2022,637,275,362
URY,UY18921,Mortgage Bank of Uruguay,Banco Hipotecario del Uruguay,BHU,1892,HOUS,Uruguay,LAC,NATIONAL,Small,2022,"2,147","1,022","1,126"
URY,UY20161,National Development Agency,Agencia Nacional de Desarrollo,ANDE,2016,MSME,Uruguay,LAC,NATIONAL,Micro,2022,24,-14,38
GTM,GT19291,National Mortgage Credit,Crédito Hipotecario Nacional,BANCOCHN,1929,HOUS,Guatemala,LAC,NATIONAL,Small,2022,753,78,675
DOM,DO19451,Agricultural Bank of the Dominican Republic,Banco Agrícola de la República Dominicana,BAGRICOLA,1945,AGRI,Dominican Republic,LAC,NATIONAL,Small,2022,703,276,427
DOM,DO19621,National Export Bank,Banco Nacional de las Exportaciones,BANDEX,1962,EXIM,Dominican Republic,LAC,NATIONAL,Small,2022,248,83,165
HND,HN20051,Honduran Bank for production and Housing,Banco Hondureño para la producción y la Vivienda,BANHPROVI,2005,FLEX,Honduras,LAC,NATIONAL,Small,2022,NI,NI,NI
HND,HN19501,National Bank for Agricultural Development,Banco Nacional de Desarrollo Agrícola,BANADESA,1950,AGRI,Honduras,LAC,NATIONAL,Small,2022,NI,TBR,TBR
JAM,JM20001,Development Bank of Jamaica,Development Bank of Jamaica,DBJ,2000,FLEX,Jamaica,LAC,NATIONAL,Micro,2022,TBR,NI,NI
JAM,JM19861,National Import – Export Bank of Jamaica,National Import – Export Bank of Jamaica,EXIM Bank Jamaica,1986,EXIM,Jamaica,LAC,NATIONAL,Micro,2022,TBR,NI,NI
BLZ,BZ19631,Development Finance Corporation,Development Finance Corporation,DFC,1963,FLEX,Belize,LAC,NATIONAL,Micro,2022,72,27,45
BLZ,BZ20031,Belize Marketing and Development Corporation,Belize Marketing and Development Corporation,MBDC,2003,AGRI,Belize,LAC,NATIONAL,NI,2022,NI,TBR,TBR
GRD,GD19651,Grenada Development Bank,Grenada Development Bank,GDB,1965,FLEX,Grenada,LAC,NATIONAL,Micro,2022,NI,NI,NI
VEN,VE19961,Foreign Trade Bank,Banco de Comercio Exterior,BANCOEX,1996,EXIM,Venezuela,LAC,NATIONAL,Small,2022,16,7,8
VEN,VE20011,Bank of Economic and Social Development of Venezuela,Banco de Desarrollo Económico y Social de Venezuela,BANDES,2001,FLEX,Venezuela,LAC,NATIONAL,Small,2022,NI,TBR,TBR
CRI,CR19941,Foundation for Sustainable Development,Fundecooperación para el Desarrollo Sostenible,Fundecooperación,1994,MSME,Costa Rica,LAC,NATIONAL,Small,2022,10,TBR,TBR
ATG,AG19711,Antigua and Barbuda Development Bank,Antigua and Barbuda Development Bank,ABDB,1971,FLEX,Antigua and Barbuda,LAC,NATIONAL,NI,2022,NI,TBR,TBR
KNA,KN19811,Development Bank of St. Kitts and Nevis,Development Bank of St. Kitts and Nevis,DBSK-N,1981,FLEX,Saint Kitts and Nevis,LAC,NATIONAL,NI,2022,NI,TBR,TBR
MB,MB19441,The World Bank,The World Bank,World Bank,1944,FLEX,Multi,World,MULTI,Mega,2021,"536,625",TBR,TBR
MB,MB19881,Multilateral Investment Guarantee Agency - World Bank Group,Multilateral Investment Guarantee Agency - World Bank Group,MIGA,1988,FLEX,Multi,World,MULTI,Small,2021,"2,948",TBR,TBR
MB,MB19561,International Finance Corporation-World Bank Group,International Finance Corporation,IFC,1956,INTL,Multi,World,MULTI,Large,2021,"105,264",TBR,TBR
MB,MB19591,Inter-American Development Bank,Inter-American Development Bank,IADB,1959,FLEX,Multi,America,MULTI,Large,2021,"151,752",TBR,TBR
MB,MB19702,Development Bank of Latin America,Banco de Desarrollo de América Latina,CAF,1970,FLEX,Multi,South America,MULTI,Medium,2021,"47,592",TBR,TBR
MB,MB20141,New Development Bank,New Development Bank,NDB BRICS,2014,FLEX,Multi,World,MULTI,Medium,2021,"24,888",TBR,TBR
MB,MB19602,Central American Bank for Economic Integration,Banco Centroamericano de Integración Económica,CABEI,1960,FLEX,Multi,Central America,MULTI,Small,2021,"13,955",TBR,TBR
MB,MB19771,International Fund for Agricultural Development,International Fund for Agricultural Development,IFAD,1977,AGRI,Multi,World,MULTI,Small,2021,"11,582",TBR,TBR
MB,MB19861,IDB Invest,IDB Invest,IDBInvest,1986,INTL,Multi,America,MULTI,Small,2021,"7,551",TBR,TBR
MB,MB19791,Latin American Bank for Foreign Trade,Banco Latinoamericano de Comercio Exterior,BLADEX,1979,EXIM,Multi,South America,MULTI,Small,2021,"8,038",TBR,TBR
MB,MB19741,Financial Fund for the Development of the Plata Basin,Fondo Financiero para el Desarrollo de la Cuenca del Plata,FONPLATA,1974,INTL,Multi,South America,MULTI,Small,2021,"2,157",TBR,TBR
MB,MB19691,Caribbean Development Bank,Caribbean Development Bank,CDB,1969,FLEX,Multi,Caribbean,MULTI,Small,2021,"2,221",TBR,TBR
MB,MB20171,Eastern Caribbean Partial Credit Guarantee Corporation,Eastern Caribbean Partial Credit Guarantee Corporation,ECPCGC,2017,MSME,Multi,Caribbean,MULTI,Micro,2021,NI,TBR,TBR
MB,MB20081,Bank of Alba,Banco del Alba,BANALBA,2008,FLEX,Multi,Latin America and the Caribbean,MULTI,NI,2021,NI,TBR,TBR
PRY,PY19611,National Development Bank,Banco Nacional de Fomento,BNF,1961,FLEX,Paraguay,LAC,NATIONAL,Small,2021,"2,617",377,"2,240"
PRY,PY20051,Development Finance Agency,Agencia Financiera de Desarrollo,AFD,2005,FLEX,Paraguay,LAC,NATIONAL,Micro,2021,"1,063",262,801
PRY,PY19691,Livestock Fund,Fondo Ganadero,FG,1969,AGRI,Paraguay,LAC,NATIONAL,Micro,2021,NI,TBR,TBR
PRY,PY19511,Agricultural Enabling Credit,Crédito Agrícola de Habilitación,CAH,1951,AGRI,Paraguay,LAC,NATIONAL,Small,2021,NI,TBR,TBR
PER,PE19991,Mivivienda Fund,Fondo Mivivienda,FMV,1999,HOUS,Peru,LAC,NATIONAL,Micro,2021,"2,765",871,"1,894"
PER,PE19711,The Development Bank of Peru,El Banco De Desarrollo Del Perú,COFIDE,1971,FLEX,Peru,LAC,NATIONAL,Small,2021,"3,141",560,"2,582"
PER,PE20011,Agricultural Bank,Banco Agropecuario,AGROBANCO,2001,AGRI,Peru,LAC,NATIONAL,Small,2021,88,53,35
BOL,BO20071,Productive Development Bank,Banco de Desarrollo Productivo,BDP,2007,FLEX,Bolivia,LAC,NATIONAL,Small,2021,"1,120",117,"1,002"
BHS,BS19741,Bahamas Development Bank,Bahamas Development Bank,BDB,1974,MSME,Bahamas,LAC,NATIONAL,Micro,2021,31,-16,47
NIC,NI20071,Production Development Bank,Banco de Fomento a la Producción,BFP,2007,FLEX,Nicaragua,LAC,NATIONAL,Small,2021,190,149,41
SUR,SR19631,National Development Bank of Suriname N.V.,Nationale Ontwikkelingsbank van Suriname N.V.,NOB,1963,FLEX,Suriname,LAC,NATIONAL,Micro,2021,NI,TBR,TBR
BRA,BR19521,The Brazilian Development Bank,Banco Nacional de Desenvolvimento Econômico e Social,BNDES,1952,FLEX,Brazil,LAC,NATIONAL,Small,2021,"134,035","28,437","105,598"
BRA,BR19522,Bank of Northeast Brazil,Banco do Nordeste do Brasil,BNB,1952,MSME,Brazil,LAC,NATIONAL,Small,2021,"10,823","1,342","9,481"
BRA,BR19611,Far South Regional Development Bank,Banco Regional de Desenvolvimento do Extremo Sul,BRDE,1961,FLEX,Brazil,LAC,SUBNATIONAL,Small,2021,"3,094",617,"2,476"
BRA,BR19591,Bank of the State of Pará,Banco do Estado do Pará S.A. – Banpará,Banpará,1959,FLEX,Brazil,LAC,SUBNATIONAL,Small,2021,"2,247",294,"1,953"
BRA,BR19621,Development Bank of Minas Gerais S.A.,Banco de Desenvolvimento de Minas Gerais S.A.,BDMG,1962,FLEX,Brazil,LAC,SUBNATIONAL,Small,2021,"1,510",373,"1,137"
BRA,BR20091,Desenvolve SP – Agência de Fomento do Estado de São Paulo S.A,Desenvolve SP – Agência de Fomento do Estado de São Paulo S.A,Desenvolve SP,2009,MSME,Brazil,LAC,SUBNATIONAL,Small,2021,697,414,284
BRA,BR19991,Promotion Agency of Paraná S.A.,Agência de Fomento do Paraná S.A.,Fomento Paraná,1999,FLEX,Brazil,LAC,SUBNATIONAL,Micro,2021,433,357,77
BRA,BR19731,BADESUL Development - Development Agency/RS,BADESUL Desenvolvimento - Agência de Fomento/RS,Badesul,1973,FLEX,Brazil,LAC,SUBNATIONAL,Small,2021,462,138,324
BRA,BR19992,Development Agency of Santa Catarina,Agencia do fomento de Santa Catarina,Badesc,1999,FLEX,Brazil,LAC,SUBNATIONAL,Micro,2021,216,137,79
BRA,BR19691,State Development Bank of Espírito Santo,Banco de Desenvolvimento do Espírito Santo S/A,BANDES,1969,FLEX,Brazil,LAC,SUBNATIONAL,Small,2021,215,57,159
BRA,BR20011,Bahia State Development Agency,Agência de Fomento do Estado da Bahia,Desenbahia,2001,MSME,Brazil,LAC,SUBNATIONAL,Micro,2021,NI,TBR,TBR
BRA,BR20021,State Development Agency,Agência Estadual de Fomento ,AgeRio,2002,MSME,Brazil,LAC,SUBNATIONAL,Micro,2021,120,89,31
BRA,BR19993,Amazonas State Development Agency S / A,Agência de Fomento do Estado do Amazonas,AFEAM,1999,MSME,Brazil,LAC,SUBNATIONAL,Micro,2021,56,TBR,TBR
BRA,BR20001,Goia?s Development Agency ,Agência de Fomento do Estado de Goiás - GoiásFomento,Goiás Fomento ,2000,MSME,Brazil,LAC,SUBNATIONAL,Micro,2021,52,35,17
BRA,BR20031,Mato Grosso State Development Agency S / A,Agência de Fomento do Estado de Mato Grosso S/A,Desenvolve MT,2003,MSME,Brazil,LAC,SUBNATIONAL,Micro,2021,28,24,5
BRA,BR20101,Agency for the Promotion and Development of the State of Piauí S.A.,Agência de Fomento e Desenvolvimento do Estado do Piauí S.A.,Piauí Fomento,2010,MSME,Brazil,LAC,SUBNATIONAL,Micro,2021,14,6,8
BRA,BR20041,Develops - Alagoas Development Agency,Desenvolve - Agência de Fomento de Alagoas,Desenvolve,2004,MSME,Brazil,LAC,SUBNATIONAL,Small,2021,17,11,5
BRA,BR19995,Agência de Fomento do Rio Grande do Norte,Agência de Fomento do Rio Grande do Norte,AGN,1999,MSME,Brazil,LAC,SUBNATIONAL,Micro,2021,NI,NI,NI
BRA,BR20111,Pernambuco Entrepreneurship Agency,Agência de Empreendedorismo de Pernambuco S/A,AGE,2011,MSME,Brazil,LAC,SUBNATIONAL,Micro,2021,16,10,6
BRA,BR20051,Agência de Fomento do Estado do Tocantins S/A,Agência de Fomento do Estado do Tocantins S/A,Fomento TO,2005,MSME,Brazil,LAC,SUBNATIONAL,Micro,2021,6,4,2
BRA,BR19971,Amapá Development Agency,Agência de Fomento do Amapá,AFAP,1997,MSME,Brazil,LAC,SUBNATIONAL,Micro,2021,3,2,1
BRA,BR19994,Roraima Development Agency,Desenvolve Roraima,DesenvolveRr,1999,MSME,Brazil,LAC,SUBNATIONAL,Small,2021,NI,TBR,TBR
CUW,CW19851,Sustainable Development Corporation of Curaçao,Corporación para el Desarrollo de Curaçao,KORPODEKO,1985,MSME,Curaçao,LAC,SUBNATIONAL,Small,2021,NI,TBR,TBR
TTO,TT19681,Agricultural Development Bank of Trinidad and Tobago,Agricultural Development Bank of Trinidad and Tobago,ADB,1968,AGRI,Trinidad and Tobago,LAC,NATIONAL,NI,2021,NI,TBR,TBR
LCA,LC20081,Saint Lucia Development Bank,Saint Lucia Development Bank,SLDB,2008,MSME,Saint Lucia,LAC,NATIONAL,Micro,2021,NI,NI,NI
SLV,SV19942,Development Bank of El Salvador,Banco de Desarrollo de El Salvador,BANDESAL,1994,FLEX,El Salvador,LAC,NATIONAL,Small,2021,633,269,364
SLV,SV19731,Agricultural Development Bank,Banco de Fomento Agropecuario,BFA,1973,AGRI,El Salvador,LAC,NATIONAL,Small,2021,469,TBR,TBR
SLV,SV20021,National Fund for Popular Housing,Fondo Nacional de Vivienda Popular,FONAVIPO,2002,HOUS,El Salvador,LAC,NATIONAL,Micro,2021,64,TBR,TBR
ARG,AR19911,Investment and Foreign Trade Bank,Banco de Inversión y Comercio Exterior,BICE,1991,FLEX,Argentina,LAC,NATIONAL,Small,2021,"1,238",314,924
ARG,AR19941,Buenos Aires Guarantee Fund,Fondo de Garantías de Buenos Aires,FOGABA,1994,MSME,Argentina,LAC,SUBNATIONAL,Micro,2021,NI,TBR,TBR
MEX,MX19721,Infonavit Mexico,Instituto del Fondo Nacional de la Vivienda para los Trabajadores,INFONAVIT,1972,HOUS,Mexico,LAC,NATIONAL,Large,2021,"91,843","13,413","78,430"
MEX,MX19331,National Bank of Public Works and Services,Banco Nacional de Obras y Servicios Públicos,BANOBRAS,1933,LOCAL,Mexico,LAC,NATIONAL,Small,2021,"46,054","3,881","42,172"
MEX,MX19341,Nacional Financiera,Nacional Financiera,NAFIN,1934,MSME,Mexico,LAC,NATIONAL,Medium,2021,"25,261","1,873","23,388"
MEX,MX19371,National Foreign Trade Bank,Banco Nacional de Comercio Exterior,BANCOMEXT,1937,EXIM,Mexico,LAC,NATIONAL,Small,2021,"22,744","1,729","21,014"
MEX,MX19541,FIRA Mexico,Fideicomisos Instituidos en Relación con la Agricultura,FIRA,1954,AGRI,Mexico,LAC,NATIONAL,Micro,2021,"9,919","4,824","5,095"
MEX,MX20011,Federal Mortgage Society,Sociedad Hipotecaria Federal,SHF,2001,HOUS,Mexico,LAC,NATIONAL,Micro,2021,"6,522","1,260","5,263"
MEX,MX20022,Bank of Wellbeing,Banco del Bienestar,BANSEFI,2002,MSME,Mexico,LAC,NATIONAL,Small,2021,"4,451",835,"3,617"
MEX,MX20021,"National Financial for Agricultural, Rural, Forestry and Fisheries Development","Financiera Nacional de Desarrollo Agropecuario, Rural, Forestal y Pesquero",FND,2002,AGRI,Mexico,LAC,NATIONAL,Micro,2021,"2,475","1,478",997
MEX,MX19941,Capitalization and Development Fund for the Rural Sector ,Fondo de Capitalización e Inversión del Sector Rural,FOCIR,1994,AGRI,Mexico,LAC,NATIONAL,Micro,2021,214,209,5
COL,CO19901,Fund for the Financing of the Agricultural Sector,Fondo para el Financiamiento del Sector Agropecuario,FINAGRO,1990,AGRI,Colombia,LAC,NATIONAL,Micro,2021,"3,406",262,"3,143"
COL,CO19891,Territorial Development Finance of Columbia,Financiera de Desarrollo Territorial,FINDETER,1989,LOCAL,Colombia,LAC,NATIONAL,Micro,2021,"2,805",320,"2,485"
COL,CO19911,Colombian Bank of Foreign Trade,Banco Colombiano de Commercio Exterior,BANCOLDEX,1991,MSME,Colombia,LAC,NATIONAL,Small,2021,"2,523",348,"2,175"
COL,CO20111,National Development Finance,Financiera del Desarrollo National,FDN,2011,INFRA,Colombia,LAC,NATIONAL,Micro,2021,"1,484",455,"1,028"
COL,CO19641,Institute for the Development of Antioquia,Instituto para el Desarrollo de Antioquia,IDEA,1964,MSME,Colombia,LAC,SUBNATIONAL,Large,2021,608,133,476
ECU,EC19641,National Finance Corporation,Corporación Financiera Nacional,CFN,1964,MSME,Ecuador,LAC,NATIONAL,Small,2021,"3,030",TBR,TBR
ECU,EC20151,Development Bank of Ecuador B.P.,Banco de Desarrollo del Ecuador B.P.,BDE,2015,FLEX,Ecuador,LAC,NATIONAL,Small,2021,"2,384",TBR,TBR
ECU,EC20081,National Corporation for Popular and Solidarity Finance,Corporacion Nacional de Finanzas Populares y Solidarias,CONAFIPS,2008,MSME,Ecuador,LAC,NATIONAL,Small,2021,589,267,322
URY,UY18921,Mortgage Bank of Uruguay,Banco Hipotecario del Uruguay,BHU,1892,HOUS,Uruguay,LAC,NATIONAL,Small,2021,"1,787",848,939
URY,UY20161,National Development Agency,Agencia Nacional de Desarrollo,ANDE,2016,MSME,Uruguay,LAC,NATIONAL,Micro,2021,31,-10,41
GTM,GT19291,National Mortgage Credit,Crédito Hipotecario Nacional,BANCOCHN,1929,HOUS,Guatemala,LAC,NATIONAL,Small,2021,747,48,699
DOM,DO19451,Agricultural Bank of the Dominican Republic,Banco Agrícola de la República Dominicana,BAGRICOLA,1945,AGRI,Dominican Republic,LAC,NATIONAL,Small,2021,629,289,341
DOM,DO19621,National Export Bank,Banco Nacional de las Exportaciones,BANDEX,1962,EXIM,Dominican Republic,LAC,NATIONAL,Small,2021,143,75,68
HND,HN20051,Honduran Bank for production and Housing,Banco Hondureño para la producción y la Vivienda,BANHPROVI,2005,FLEX,Honduras,LAC,NATIONAL,Small,2021,573,389,183
HND,HN19501,National Bank for Agricultural Development,Banco Nacional de Desarrollo Agrícola,BANADESA,1950,AGRI,Honduras,LAC,NATIONAL,Small,2021,NI,TBR,TBR
JAM,JM20001,Development Bank of Jamaica,Development Bank of Jamaica,DBJ,2000,FLEX,Jamaica,LAC,NATIONAL,Micro,2021,TBR,NI,NI
JAM,JM19861,National Import – Export Bank of Jamaica,National Import – Export Bank of Jamaica,EXIM Bank Jamaica,1986,EXIM,Jamaica,LAC,NATIONAL,Micro,2021,TBR,0.006522415,54
BLZ,BZ19631,Development Finance Corporation,Development Finance Corporation,DFC,1963,FLEX,Belize,LAC,NATIONAL,Micro,2021,68,26,41
BLZ,BZ20031,Belize Marketing and Development Corporation,Belize Marketing and Development Corporation,MBDC,2003,AGRI,Belize,LAC,NATIONAL,NI,2021,NI,TBR,TBR
GRD,GD19651,Grenada Development Bank,Grenada Development Bank,GDB,1965,FLEX,Grenada,LAC,NATIONAL,Micro,2021,37,10,27
VEN,VE19961,Foreign Trade Bank,Banco de Comercio Exterior,BANCOEX,1996,EXIM,Venezuela,LAC,NATIONAL,Small,2021,18,9,9
VEN,VE20011,Bank of Economic and Social Development of Venezuela,Banco de Desarrollo Económico y Social de Venezuela,BANDES,2001,FLEX,Venezuela,LAC,NATIONAL,Small,2021,NI,TBR,TBR
CRI,CR19941,Foundation for Sustainable Development,Fundecooperación para el Desarrollo Sostenible,Fundecooperación,1994,MSME,Costa Rica,LAC,NATIONAL,Small,2021,NI,TBR,TBR
ATG,AG19711,Antigua and Barbuda Development Bank,Antigua and Barbuda Development Bank,ABDB,1971,FLEX,Antigua and Barbuda,LAC,NATIONAL,NI,2021,NI,TBR,TBR
KNA,KN19811,Development Bank of St. Kitts and Nevis,Development Bank of St. Kitts and Nevis,DBSK-N,1981,FLEX,Saint Kitts and Nevis,LAC,NATIONAL,NI,2021,NI,TBR,TBR
MB,MB19441,The World Bank,The World Bank,World Bank,1944,FLEX,Multi,World,MULTI,Mega,2020,"496,276",TBR,TBR
MB,MB19881,Multilateral Investment Guarantee Agency - World Bank Group,Multilateral Investment Guarantee Agency - World Bank Group,MIGA,1988,FLEX,Multi,World,MULTI,Small,2020,"2,990",TBR,TBR
MB,MB19561,International Finance Corporation-World Bank Group,International Finance Corporation,IFC,1956,INTL,Multi,World,MULTI,Large,2020,"95,800",TBR,TBR
MB,MB19591,Inter-American Development Bank,Inter-American Development Bank,IADB,1959,FLEX,Multi,America,MULTI,Large,2020,"147,533",TBR,TBR
MB,MB19702,Development Bank of Latin America,Banco de Desarrollo de América Latina,CAF,1970,FLEX,Multi,South America,MULTI,Medium,2020,"46,846",TBR,TBR
MB,MB20141,New Development Bank,New Development Bank,NDB BRICS,2014,FLEX,Multi,World,MULTI,Medium,2020,"18,844",TBR,TBR
MB,MB19602,Central American Bank for Economic Integration,Banco Centroamericano de Integración Económica,CABEI,1960,FLEX,Multi,Central America,MULTI,Small,2020,"13,295",TBR,TBR
MB,MB19771,International Fund for Agricultural Development,International Fund for Agricultural Development,IFAD,1977,AGRI,Multi,World,MULTI,Small,2020,"9,550",TBR,TBR
MB,MB19861,IDB Invest,IDB Invest,IDBInvest,1986,INTL,Multi,America,MULTI,Small,2020,"6,424",TBR,TBR
MB,MB19791,Latin American Bank for Foreign Trade,Banco Latinoamericano de Comercio Exterior,BLADEX,1979,EXIM,Multi,South America,MULTI,Small,2020,"6,289",TBR,TBR
MB,MB19741,Financial Fund for the Development of the Plata Basin,Fondo Financiero para el Desarrollo de la Cuenca del Plata,FONPLATA,1974,INTL,Multi,South America,MULTI,Small,2020,"1,695",TBR,TBR
MB,MB19691,Caribbean Development Bank,Caribbean Development Bank,CDB,1969,FLEX,Multi,Caribbean,MULTI,Small,2020,"2,121",TBR,TBR
MB,MB20171,Eastern Caribbean Partial Credit Guarantee Corporation,Eastern Caribbean Partial Credit Guarantee Corporation,ECPCGC,2017,MSME,Multi,Caribbean,MULTI,Micro,2020,10,TBR,TBR
MB,MB20081,Bank of Alba,Banco del Alba,BANALBA,2008,FLEX,Multi,Latin America and the Caribbean,MULTI,NI,2020,NI,TBR,TBR
PRY,PY19611,National Development Bank,Banco Nacional de Fomento,BNF,1961,FLEX,Paraguay,LAC,NATIONAL,Small,2020,"2,471",346,"2,125"
PRY,PY20051,Development Finance Agency,Agencia Financiera de Desarrollo,AFD,2005,FLEX,Paraguay,LAC,NATIONAL,Micro,2020,"1,064",243,821
PRY,PY19691,Livestock Fund,Fondo Ganadero,FG,1969,AGRI,Paraguay,LAC,NATIONAL,Micro,2020,17,TBR,TBR
PRY,PY19511,Agricultural Enabling Credit,Crédito Agrícola de Habilitación,CAH,1951,AGRI,Paraguay,LAC,NATIONAL,Small,2020,NI,TBR,TBR
PER,PE19991,Mivivienda Fund,Fondo Mivivienda,FMV,1999,HOUS,Peru,LAC,NATIONAL,Micro,2020,"2,793",913,"1,880"
PER,PE19711,The Development Bank of Peru,El Banco De Desarrollo Del Perú,COFIDE,1971,FLEX,Peru,LAC,NATIONAL,Small,2020,"3,441",575,"2,866"
PER,PE20011,Agricultural Bank,Banco Agropecuario,AGROBANCO,2001,AGRI,Peru,LAC,NATIONAL,Small,2020,86,48,38
BOL,BO20071,Productive Development Bank,Banco de Desarrollo Productivo,BDP,2007,FLEX,Bolivia,LAC,NATIONAL,Small,2020,"1,029",91,938
BHS,BS19741,Bahamas Development Bank,Bahamas Development Bank,BDB,1974,MSME,Bahamas,LAC,NATIONAL,Micro,2020,33,-14,47
NIC,NI20071,Production Development Bank,Banco de Fomento a la Producción,BFP,2007,FLEX,Nicaragua,LAC,NATIONAL,Small,2020,188,143,45
SUR,SR19631,National Development Bank of Suriname N.V.,Nationale Ontwikkelingsbank van Suriname N.V.,NOB,1963,FLEX,Suriname,LAC,NATIONAL,Micro,2020,NI,TBR,TBR
BRA,BR19521,The Brazilian Development Bank,Banco Nacional de Desenvolvimento Econômico e Social,BNDES,1952,FLEX,Brazil,LAC,NATIONAL,Small,2020,"149,867","21,758","128,109"
BRA,BR19522,Bank of Northeast Brazil,Banco do Nordeste do Brasil,BNB,1952,MSME,Brazil,LAC,NATIONAL,Small,2020,"11,903","1,188","10,714"
BRA,BR19611,Far South Regional Development Bank,Banco Regional de Desenvolvimento do Extremo Sul,BRDE,1961,FLEX,Brazil,LAC,SUBNATIONAL,Small,2020,"3,226",610,"2,616"
BRA,BR19591,Bank of the State of Pará,Banco do Estado do Pará S.A. – Banpará,Banpará,1959,FLEX,Brazil,LAC,SUBNATIONAL,Small,2020,"2,038",286,"1,753"
BRA,BR19621,Development Bank of Minas Gerais S.A.,Banco de Desenvolvimento de Minas Gerais S.A.,BDMG,1962,FLEX,Brazil,LAC,SUBNATIONAL,Small,2020,"1,648",373,"1,275"
BRA,BR20091,Desenvolve SP – Agência de Fomento do Estado de São Paulo S.A,Desenvolve SP – Agência de Fomento do Estado de São Paulo S.A,Desenvolve SP,2009,MSME,Brazil,LAC,SUBNATIONAL,Small,2020,506,223,282
BRA,BR19991,Promotion Agency of Paraná S.A.,Agência de Fomento do Paraná S.A.,Fomento Paraná,1999,FLEX,Brazil,LAC,SUBNATIONAL,Micro,2020,442,356,86
BRA,BR19731,BADESUL Development - Development Agency/RS,BADESUL Desenvolvimento - Agência de Fomento/RS,Badesul,1973,FLEX,Brazil,LAC,SUBNATIONAL,Small,2020,512,143,369
BRA,BR19992,Development Agency of Santa Catarina,Agencia do fomento de Santa Catarina,Badesc,1999,FLEX,Brazil,LAC,SUBNATIONAL,Micro,2020,188,117,71
BRA,BR19691,State Development Bank of Espírito Santo,Banco de Desenvolvimento do Espírito Santo S/A,BANDES,1969,FLEX,Brazil,LAC,SUBNATIONAL,Small,2020,210,52,159
BRA,BR20011,Bahia State Development Agency,Agência de Fomento do Estado da Bahia,Desenbahia,2001,MSME,Brazil,LAC,SUBNATIONAL,Micro,2020,197,TBR,TBR
BRA,BR20021,State Development Agency,Agência Estadual de Fomento ,AgeRio,2002,MSME,Brazil,LAC,SUBNATIONAL,Micro,2020,121,92,29
BRA,BR19993,Amazonas State Development Agency S / A,Agência de Fomento do Estado do Amazonas,AFEAM,1999,MSME,Brazil,LAC,SUBNATIONAL,Micro,2020,57,TBR,TBR
BRA,BR20001,Goia?s Development Agency ,Agência de Fomento do Estado de Goiás - GoiásFomento,Goiás Fomento ,2000,MSME,Brazil,LAC,SUBNATIONAL,Micro,2020,59,38,21
BRA,BR20031,Mato Grosso State Development Agency S / A,Agência de Fomento do Estado de Mato Grosso S/A,Desenvolve MT,2003,MSME,Brazil,LAC,SUBNATIONAL,Micro,2020,14,4,9
BRA,BR20101,Agency for the Promotion and Development of the State of Piauí S.A.,Agência de Fomento e Desenvolvimento do Estado do Piauí S.A.,Piauí Fomento,2010,MSME,Brazil,LAC,SUBNATIONAL,Micro,2020,10,3,7
BRA,BR20041,Develops - Alagoas Development Agency,Desenvolve - Agência de Fomento de Alagoas,Desenvolve,2004,MSME,Brazil,LAC,SUBNATIONAL,Small,2020,10,5,5
BRA,BR19995,Agência de Fomento do Rio Grande do Norte,Agência de Fomento do Rio Grande do Norte,AGN,1999,MSME,Brazil,LAC,SUBNATIONAL,Micro,2020,15,10,5
BRA,BR20111,Pernambuco Entrepreneurship Agency,Agência de Empreendedorismo de Pernambuco S/A,AGE,2011,MSME,Brazil,LAC,SUBNATIONAL,Micro,2020,12,10,2
BRA,BR20051,Agência de Fomento do Estado do Tocantins S/A,Agência de Fomento do Estado do Tocantins S/A,Fomento TO,2005,MSME,Brazil,LAC,SUBNATIONAL,Micro,2020,7,5,2
BRA,BR19971,Amapá Development Agency,Agência de Fomento do Amapá,AFAP,1997,MSME,Brazil,LAC,SUBNATIONAL,Micro,2020,4,2,2
BRA,BR19994,Roraima Development Agency,Desenvolve Roraima,DesenvolveRr,1999,MSME,Brazil,LAC,SUBNATIONAL,Small,2020,NI,TBR,TBR
CUW,CW19851,Sustainable Development Corporation of Curaçao,Corporación para el Desarrollo de Curaçao,KORPODEKO,1985,MSME,Curaçao,LAC,SUBNATIONAL,Small,2020,NI,TBR,TBR
TTO,TT19681,Agricultural Development Bank of Trinidad and Tobago,Agricultural Development Bank of Trinidad and Tobago,ADB,1968,AGRI,Trinidad and Tobago,LAC,NATIONAL,NI,2020,NI,TBR,TBR
LCA,LC20081,Saint Lucia Development Bank,Saint Lucia Development Bank,SLDB,2008,MSME,Saint Lucia,LAC,NATIONAL,Micro,2020,41,6,36
